query, lng, lat, toponymName, geonameId, name-en, countryId, countryName-en, name-et, countryName-et, name-ru, countryName-ru
"Hawaii", "-156.50028", "20.75028", "Hawaii", "5855797", "Hawaii", "6252001", "United States", "Hawaii osariik", "Ameerika Ühendriigid", "Гавайи", "Сша"
"Heidelberg", "8.69079", "49.40768", "Heidelberg", "2907911", "Heidelberg", "2921044", "Germany", "Heidelberg", "Saksamaa", "Хайдельберг", "Германия"
"Heidenberg", "8.23486", "50.08627", "Heidenberg", "8629615", "Heidenberg", "2921044", "Germany", "Heidenberg", "Saksamaa", "Heidenberg", "Германия"
"Heilbronn", "9.22054", "49.13995", "Heilbronn", "2907669", "Heilbronn", "2921044", "Germany", "Heilbronn", "Saksamaa", "Хайльбронн", "Германия"
"Heilbad Heiligenstadt", "10.13744", "51.37819", "Heilbad Heiligenstadt", "2907545", "Heilbad Heiligenstadt", "2921044", "Germany", "Heilbad Heiligenstadt", "Saksamaa", "Хайльбад-Хайлигенштадт", "Германия"
"Helsinki", "24.93545", "60.16952", "Helsinki", "658225", "Helsinki", "660013", "Finland", "Helsingi", "Soome", "Хельсинки", "Финляндия"
"China", "105", "35", "People’s Republic of China", "1814991", "China", "1814991", "China", "Hiina Rahvavabariik", "Hiina", "Китай", "Китай"
"Hiiumaa", "22.57528", "58.86139", "Hiiumaa", "592132", "Hiiumaa", "453733", "Estonia", "Hiiu maakond", "Eesti", "Хийумаа", "Эстония"
"Spain", "-4", "40", "Kingdom of Spain", "2510769", "Spain", "2510769", "Spain", "Hispaania", "Hispaania", "Испания", "Испания"
"Netherlands", "5.75", "52.25", "Kingdom of the Netherlands", "2750405", "Netherlands", "2750405", "Netherlands", "Madalmaad", "Madalmaad", "Нидерланды", "Нидерланды"
"Houston", "-95.36327", "29.76328", "Houston", "4699066", "Houston", "6252001", "United States", "Houston", "Ameerika Ühendriigid", "Хьюстон", "Сша"
"Häädemeeste", "24.49719", "58.08114", "Häädemeeste", "592232", "Häädemeeste", "453733", "Estonia", "Häädemeeste", "Eesti", "Хяздемеэсте", "Эстония"
"East Prussia", "21", "54", "East Prussia", "772636", "East Prussia", "798544", "Poland", "East Prussia", "Poola", "East Prussia", "Польша"
"East Germany", "12.51559", "52.19498", "German Democratic Republic", "8354410", "East Germany", "2921044", "Germany", "German Democratic Republic", "Saksamaa", "Германская Демократическая Республика", "Германия"
"Ida-Virumaa", "28.19028", "59.37722", "Narva", "590031", "Narva", "453733", "Estonia", "Narva", "Eesti", "Нарва", "Эстония"
"Ireland", "-8", "53", "Ireland", "2963597", "Ireland", "2963597", "Ireland", "Iiri", "Iiri", "Ирландия", "Ирландия"
"Indianapolis", "-86.15804", "39.76838", "Indianapolis", "4259418", "Indianapolis", "6252001", "United States", "Indianapolis", "Ameerika Ühendriigid", "Индианаполис", "Сша"
"England", "0.50415", "52.24067", "East of England", "11591954", "East of England", "2635167", "United Kingdom", "East of England", "Ühendkuningriik", "East of England", "Великобритания"
"Italy", "12.83333", "42.83333", "Repubblica Italiana", "3175395", "Italy", "3175395", "Italy", "Itaalia", "Itaalia", "Италия", "Италия"
"Jaagarahu", "21.97139", "58.40194", "Jaagarahu", "8620642", "Jaagarahu", "453733", "Estonia", "Jaagarahu", "Eesti", "Jaagarahu", "Эстония"
"Japan", "139.75309", "35.68536", "Japan", "1861060", "Japan", "1861060", "Japan", "Jaapan", "Jaapan", "Япония", "Япония"
"Jamaica", "-77.25", "18.16667", "Jamaica", "3489940", "Jamaica", "3489940", "Jamaica", "Jamaica", "Jamaica", "Ямайка", "Ямайка"
"Yaroslavl", "39.87368", "57.62987", "Yaroslavl", "468902", "Yaroslavl", "2017370", "Russia", "Yaroslavl", "Venemaa", "Ярославль", "Россия"
